FEDSM1;FEDSM2;FEDSM3
0,767639;0,981514;0,956860
1,369026;1,556950;1,753398
0,492198;0,472947;0,736994
-1,683912;-1,748434;-2,205178
-1,256363;-1,172998;-1,694085
0,318361;0,472947;0,451548
-0,331580;-1,025765;-0,266858
-0,761078;-0,503702;-1,378741
-0,270887;0,004622;-0,441229
-0,162239;0,178481;-0,155023
-0,046547;-0,330087;0,267363
-1,261458;-1,828799;-1,378741
-1,094665;-1,253362;-1,295815
-1,400918;-1,756410;-1,818473
-0,329032;-0,330087;-0,196485
0,060153;0,499937;-0,320873
-0,041452;0,232097;-0,106029
-0,819223;-0,878532;-1,158875
0,975345;1,235737;1,272965
0,547796;0,620179;0,736994
-1,032023;-1,480959;-0,968907
-0,376988;0,339209;-0,773158
0,692860;1,128747;0,742776
0,494745;0,700544;0,517128
-0,437681;-0,664431;-0,582202
-0,111736;-0,396956;0,118859
-0,384630;-0,744795;-0,362336
0,414361;0,133083;0,654068
-0,217837;-0,169359;-0,279411
0,393141;0,258845;0,624170
-0,457372;-0,161383;-0,594755
0,219304;0,258845;0,338724
0,110655;0,165229;0,102273
0,219304;0,325714;0,380187
0,163706;0,044743;0,297262
-0,379535;-0,155863;-0,719143
-0,326485;-0,329844;-0,557324
-0,384630;-0,878532;-0,445261
0,219304;0,526320;0,504575
1,533272;1,771052;1,973264
0,064649;-0,102490;0,225900
-0,128880;0,066214;-0,279411
0,274901;0,432825;0,355310
-0,756582;-1,106129;-0,831967
-0,000540;-0,035621;0,160321
0,876288;0,580301;0,886487
-0,051043;0,606684;-0,072097
-0,041452;0,125107;-0,172369
0,108108;-0,236227;0,214336
0,175844;0,191976;0,225900
0,515456;0,716495;0,707095
-0,104093;0,352704;-0,499277
0,263782;0,456874;0,388480
0,387116;0,818330;0,267363
0,221851;0,687048;0,243246
4,002057;4,234133;4,085194
0,395688;0,566684;0,454059
0,510361;-0,139912;0,898051
0,221851;0,553311;0,160321
-0,053591;-0,088994;-0,142470
0,132895;0,317738;0,160321
0,219304;0,058239;0,214336
-0,056138;-0,115985;0,201784
0,547796;0,753917;0,819919
0,770187;1,142242;0,695531
-0,502869;-0,664431;-0,689244
-0,766173;-0,825159;-0,856083
0,439147;0,553311;0,517128
-0,435133;-0,303096;-0,719143
0,671130;1,061878;0,665632
-0,437681;-0,396956;-0,416351
0,055058;-0,022126;0,077396
-0,369944;-0,303096;-0,612101
0,547796;0,620179;0,736994
-0,382083;-0,249723;-0,416351
0,197064;0,199952;0,338724
-0,217837;-0,035621;-0,196485
0,274901;0,472947;0,380187
-1,097212;-1,748434;-1,241800
-1,041614;-1,668070;-1,283263
-0,217837;-0,236227;-0,320873
-0,372492;-0,865037;-0,599548
-0,766173;-1,025765;-0,980471
-0,568568;-0,589586;-0,677680
-1,476207;-1,668070;-1,996876
0,876288;1,115252;1,218188
0,832828;1,021635;1,088779
0,166253;0,272340;0,077396
-0,106641;0,125107;-0,279411
-0,106641;0,125107;-0,279411
0,953106;1,270460;1,331012
-0,056138;-0,383460;0,035933
0,052510;-0,249723;0,297262
0,350191;0,317738;0,517128
-0,437681;-0,731299;-0,623665
-0,771268;-1,614697;-0,623665
0,712042;0,767412;0,915397
-0,058686;-0,477320;0,338724
-0,382083;-0,517198;-0,582202
0,055058;-0,022126;0,077396
0,197064;0,133083;0,297262
0,327952;0,258845;0,517128
-0,056138;-0,650935;-0,129917
