ENTITETI;POZICIJA;MJERENJE;AVMT;APMT;FAEIJOJO;RVO2;MAG20Y;S20m
1;B;I;84;8,5;18,8;58,2;4,4;2,98
2;C;I;122;21,8;15,4;44,8;4,97;3,32
3;B;I;98;14,6;16,3;52;4,63;3,11
4;B;I;82;11,3;15,1;47,1;4,54;3,07
5;B;I;86;12;17,4;55,2;4,84;3,11
6;B;I;96;10,4;17,1;59,1;4,37;3,04
7;B;I;93;16,5;17,7;56,6;4,43;2,9
8;K;I;100;16,1;17,3;54,1;4,34;3,26
9;K;I;101;18;17,8;48,2;4,87;3,18
10;K;I;95;12,4;18,1;47,8;4,34;3,09
11;C;I;103;13,6;15,3;47,2;4,81;3,29
12;C;I;107;19,7;16,3;53,7;4,73;3,09
13;C;I;112;20;16,6;51,4;4,73;3,34
14;B;II;83;8;21,2;60,2;4,33;2,94
15;C;II;120;17,7;16,3;47,2;5,01;3,3
16;B;II;96;11,6;18,6;52;4,57;3,12
17;B;II;81;9,5;17,5;49,8;4,48;2,9
18;B;II;86;10,5;20,1;58,1;4,56;2,98
19;B;II;94;8,2;19,1;60,1;4,27;2,91
20;B;II;93;12,5;20,3;58,6;4,28;2,89
21;K;II;101;14,2;19,4;53,3;4,45;3,19
22;K;II;102;17,4;20,1;50,2;4,66;3,08
23;K;II;97;11,6;19,1;50;4,28;3,01
24;C;II;107;12,6;18,1;49,2;4,55;3,18
25;C;II;108;17,7;18,2;53,9;4,88;3,09
26;C;II;114;18,2;18,1;52,2;4,83;3,27
