BRM;VIS;TEZ;ONAD;OPOT;ONAT;KNNAD;KNPOT;KNNAT;MIN5;APO2;REL
1;176;849;334;404;666;265;151;172;135;31;365
2;176;837;321;401;660;263;151;170;142;28;335
3;176;837;325;410;664;263;147;168;138;35;418
4;176;835;322;414;664;260;139;166;136;31;371
5;176;830;325;408;655;256;137;165;140;28;337
6;176;830;325;406;654;252;135;162;136;31;373
7;176;827;332;401;657;253;132;159;127;35;423
8;176;812;337;405;655;250;128;159;129;34;419
9;176;810;335;400;649;248;128;157;127;35;432
10;176;804;332;400;649;245;125;155;126;36;448
11;176;800;327;399;645;247;119;155;127;35;438
